pillar,seed,file,n_rows,mean_H_pre,p50_H_pre,p90_H_pre,mean_margin_pre,p50_margin_pre,p90_margin_pre,mean_dlogits_pre,p50_dlogits_pre,p90_dlogits_pre,mean_repeat16,p50_repeat16,p90_repeat16,mean_uniq16,p50_uniq16,p90_uniq16,mean_run_same,p50_run_same,p90_run_same,mean_r_x,p50_r_x,p90_r_x,mean_value_streak,p50_value_streak,p90_value_streak,mean_token,p50_token,p90_token,mean_collapse_pre,collapse_rate,intervene_rate,mean_intervene
ETH,0,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed0.csv,384,1.7567072491316746,1.8933268785476685,2.427067685127258,0.29061284781588864,0.18648647516965866,0.841099721193313,51.03940762144824,52.60302543640137,63.145236587524415,0.17266180361883487,0.125,0.375,12.96875,13.0,16.0,1.0052083333333333,1.0,1.0,0.6077593942172825,0.0,2.456435704231261,0.3489583333333333,0.0,1.0,62.986979166666664,66.5,113.0,0.015625,0.015625,0.3333333333333333,0.3333333333333333
ETH,1,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed1.csv,384,1.809723468342175,1.8450221419334412,2.477568221092224,0.2590705696105336,0.1881299167871475,0.6193899571895599,46.50848938509201,48.490617752075195,61.132495117187496,0.21708555116758244,0.1875,0.5,12.247395833333334,13.0,16.0,1.0807291666666667,1.0,1.0,1.574358177992205,0.0,4.578425216674802,0.1875,0.0,1.0,59.614583333333336,58.5,103.0,0.0026041666666666665,0.0026041666666666665,0.3333333333333333,0.3333333333333333
ETH,2,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed2.csv,384,1.6040378892794251,1.5890719890594482,2.3397722244262695,0.36608580373770866,0.285996213555336,0.8108312129974365,48.225651904319726,47.92435836791992,62.44777641296387,0.20264188936063934,0.125,0.5,12.505208333333334,13.0,16.0,1.0598958333333333,1.0,1.0,6.414789725560695,0.0,29.93238086700439,0.125,0.0,1.0,59.0,63.0,110.0,0.0,0.0,0.3333333333333333,0.3333333333333333
ETH,3,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed3.csv,384,1.7338322134746704,1.8903700709342957,2.352127146720886,0.32700635644141585,0.2372127473354339,0.7315624237060546,46.91250398902533,44.3748779296875,61.72969551086425,0.21032914929399305,0.1875,0.4375,12.372395833333334,13.0,15.0,1.0416666666666667,1.0,1.0,1.7657641851498436,0.0,7.729344034194946,0.10677083333333333,0.0,0.0,62.450520833333336,59.0,120.69999999999999,0.0,0.0,0.3333333333333333,0.3333333333333333
ETH,4,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed4.csv,384,1.7390569605631754,1.713768482208252,2.418436336517334,0.3380592602188699,0.3035270571708679,0.6901394724845886,49.174864780157804,49.12872123718262,61.57086601257324,0.17994888502701004,0.125,0.5,12.848958333333334,14.0,16.0,1.0208333333333333,1.0,1.0,6.72136875288561,0.0,24.80785217285156,0.18229166666666666,0.0,1.0,67.89322916666667,74.0,113.0,0.0026041666666666665,0.0026041666666666665,0.3359375,0.3359375
ETH,5,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed5.csv,384,1.5316938345010083,1.5441630482673645,2.3455873012542723,0.3807139474665746,0.37769846618175507,0.7141666114330292,49.50914943156143,47.06562042236328,62.78586120605468,0.2755882030296093,0.1875,0.6875,11.3125,13.0,16.0,1.0052083333333333,1.0,1.0,3.239163965297242,0.0,14.016205596923827,0.15364583333333334,0.0,1.0,77.18489583333333,92.0,121.0,0.0,0.0,0.3333333333333333,0.3333333333333333
ETH,6,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed6.csv,384,1.8813281218754128,1.9945997595787048,2.4662678956985475,0.2810734676895663,0.24518468230962745,0.6427509129047393,48.74569367369016,48.228803634643555,60.04455337524414,0.1282719053226866,0.125,0.25,13.684895833333334,14.0,16.0,1.0104166666666667,1.0,1.0,1.954707042934994,0.0,9.755793476104735,0.3359375,0.0,1.0,68.05729166666667,71.0,111.0,0.026041666666666668,0.026041666666666668,0.3385416666666667,0.3385416666666667
ETH,7,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed7.csv,384,1.856504992232658,2.0693750381469727,2.379886770248413,0.27171872455316287,0.15872626006603235,0.6712306261062619,43.59181912538285,42.572383880615234,60.486959457397454,0.23284327796046544,0.1875,0.5,12.005208333333334,12.0,15.0,1.0442708333333333,1.0,1.0,1.8973863869905472,0.0,8.110948848724364,0.23177083333333334,0.0,1.0,73.74479166666667,85.0,115.0,0.0078125,0.0078125,0.3359375,0.3359375
ETH,8,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed8.csv,384,1.786884611666513,1.768904209136963,2.4366337299346923,0.33146876979541656,0.3049799054861069,0.6108635663986206,37.93295939041612,37.89117240905762,62.13647956848145,0.2784871414754227,0.1875,0.75,11.2734375,12.0,16.0,1.90625,1.0,4.0,1.5505183399654925,0.0,6.007213306427001,0.19270833333333334,0.0,1.0,54.106770833333336,37.0,114.69999999999999,0.0026041666666666665,0.0026041666666666665,0.3359375,0.3359375
ETH,9,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed9.csv,384,1.8929813879852493,2.0031267404556274,2.457485842704773,0.26165111989636597,0.20198082923889155,0.5540810823440551,46.069164475581296,43.67148399353027,62.1738712310791,0.20759216188903687,0.1875,0.4375,12.40625,13.0,16.0,1.03125,1.0,1.0,2.269859148810307,0.0,8.181052303314209,0.3046875,0.0,1.0,61.489583333333336,63.5,111.69999999999999,0.020833333333333332,0.020833333333333332,0.3489583333333333,0.3489583333333333
ETH,10,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed10.csv,384,1.459740931362224,1.3955605626106262,2.219141054153442,0.38865240310163546,0.4445815682411194,0.6423564136028289,37.4736000810129,46.32410430908203,62.30917205810547,0.3360361246103434,0.25,0.75,10.348958333333334,10.0,16.0,2.4661458333333335,1.0,7.0,1.4989705411717296,0.0,5.539626312255859,0.09895833333333333,0.0,0.0,86.25520833333333,104.0,122.0,0.0,0.0,0.3333333333333333,0.3333333333333333
ETH,11,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed11.csv,384,1.8608743274817243,1.9802803397178652,2.38512442111969,0.28364417298386496,0.20614239573478693,0.7076449811458587,46.65970595755304,47.49160385131836,62.94697303771972,0.1925827102584915,0.125,0.4375,12.640625,13.0,16.0,1.1432291666666667,1.0,1.0,2.491705084530016,0.0,8.558146381378172,0.2994791666666667,0.0,1.0,59.6640625,61.0,108.0,0.018229166666666668,0.018229166666666668,0.3359375,0.3359375
ETH,12,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed12.csv,384,1.9372820009981904,1.9983562231063843,2.597979426383972,0.23368678108090535,0.1712546497583389,0.5995853304862976,47.09321627502019,46.202640533447266,61.83137893676758,0.15176336611883487,0.125,0.3125,13.3046875,14.0,16.0,1.0208333333333333,1.0,1.0,7.660952148338159,0.0,27.25833301544189,0.4296875,0.0,1.0,72.625,69.5,123.0,0.0390625,0.0390625,0.359375,0.359375
ETH,13,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed13.csv,384,1.8121646920529504,1.90536630153656,2.3953272104263306,0.24942062065626183,0.19485319405794138,0.623524498939514,44.37847799342126,47.44857978820801,61.75760726928711,0.2284593444749695,0.1875,0.5,12.067708333333334,12.0,16.0,1.25,1.0,2.0,2.4673729996817806,0.0,10.430917644500733,0.2682291666666667,0.0,1.0,63.90625,63.5,109.0,0.020833333333333332,0.020833333333333332,0.3385416666666667,0.3385416666666667
ETH,14,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed14.csv,384,1.402647847464929,1.3601693511009216,2.3002068519592282,0.458968698241127,0.47817927598953247,0.8218410193920136,33.55655890501415,40.85314750671387,58.9831802368164,0.35381182763995267,0.25,0.9375,10.0703125,11.0,16.0,3.8125,1.0,16.0,1.8604601728729904,0.0,7.792908382415772,0.125,0.0,1.0,48.916666666666664,30.0,110.0,0.0,0.0,0.3333333333333333,0.3333333333333333
ETH,15,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed15.csv,384,1.7777295659761876,1.9278571605682373,2.4228267908096313,0.3147349685120086,0.1897908970713615,0.765235960483551,42.96672833959261,41.135459899902344,62.199365234374994,0.23225911458333334,0.125,0.5625,12.002604166666666,13.0,16.0,1.0546875,1.0,1.0,6.035960805291931,0.0,25.583351516723624,0.15364583333333334,0.0,1.0,63.515625,76.0,107.0,0.0,0.0,0.3333333333333333,0.3333333333333333
ETH,16,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed16.csv,384,1.7828684702593212,1.8139881491661072,2.393907332420349,0.30933092813938856,0.2460321560502052,0.7000499963760376,46.26157095834302,52.111724853515625,61.45881462097168,0.2120471759143634,0.18465909090909086,0.5,12.3515625,13.0,15.699999999999989,1.6067708333333333,1.0,2.0,7.595211111785223,0.0,36.57186431884766,0.2630208333333333,0.0,1.0,67.34895833333333,63.0,121.0,0.010416666666666666,0.010416666666666666,0.3411458333333333,0.3411458333333333
ETH,17,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed17.csv,384,1.548473855946213,1.5317707657814026,2.2658859729766845,0.343016834386314,0.3001548647880554,0.6675711393356323,46.0649083519044,44.174964904785156,61.604912185668944,0.30245684220293595,0.1875,0.7312499999999993,10.8828125,11.0,16.0,1.0494791666666667,1.0,1.0,1.8057369894037645,0.0,7.765282583236691,0.14583333333333334,0.0,1.0,56.854166666666664,65.0,95.0,0.0078125,0.0078125,0.3333333333333333,0.3333333333333333
ETH,18,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed18.csv,384,1.7497899169005298,1.9258992075920105,2.3239773035049436,0.27440669044153765,0.14782398194074625,0.7712660014629364,44.94258313952014,45.13047981262207,61.078115081787104,0.2189475780296093,0.1875,0.5,12.21875,13.0,16.0,1.078125,1.0,1.0,1.7415879995872576,0.0,7.777998399734497,0.2265625,0.0,1.0,54.950520833333336,53.0,113.69999999999999,0.0026041666666666665,0.0026041666666666665,0.3359375,0.3359375
ETH,19,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed19.csv,384,1.560289429500699,1.503943383693695,2.37932186126709,0.4020493455075969,0.4086548238992691,0.7165099561214446,35.87277795514092,43.32632827758789,63.08258438110351,0.3235677083333333,0.1875,0.875,10.541666666666666,11.5,16.0,3.1041666666666665,1.0,10.699999999999989,5.715654210497935,0.0,20.77775955200195,0.14322916666666666,0.0,1.0,56.822916666666664,70.0,112.0,0.0,0.0,0.3333333333333333,0.3333333333333333
ETH,20,/Users/masayukiokita/zsit/out_value/g36_value_MAX128_seed20.csv,384,1.8876201984821819,2.041304111480713,2.46408519744873,0.2694902201765217,0.21399267017841334,0.5942518591880798,48.22482136109223,47.3275089263916,63.62660789489746,0.18412226879023752,0.125,0.375,12.778645833333334,13.0,16.0,1.0208333333333333,1.0,1.0,2.075636715007325,0.0,6.901927280426025,0.18489583333333334,0.0,1.0,59.127604166666664,53.0,103.69999999999999,0.0026041666666666665,0.0026041666666666665,0.3333333333333333,0.3333333333333333
